"review","sentiment"
"This movie was bad from the start. The only purpose of the movie was that Angela wanted to get a high body count. The acting was horrible. The killings were acted out very badly. Like when Ally got stuffed down that toilet I guess it was in the abandoned cabin. But when the end of the movie comes and Molly and the other guy are in the cabin you see Ally so Angela must have gone in to get her. The part that really got me was when the black girl and Angela were in the cabin and Angela took the guitar string and chocked her. One it was horrible acting and two why wouldn't you just turn around and punch the bitch?!?!? Then when Molly is getting chased by Angela if you have the neigh why not just turn around and stab her??? So stupid. This movie sucked...","negative"
"I have to say I was really looking forward on watching this film and finding some new life in it that would separate it from most dull and overly crafted mexican films. I have no idea why but I trusted Sexo, Pudor y Lagrimas to be the one to inject freshness and confidence to our non-existent industry. Maybe it was because the soundtrack(which I listened to before I saw the film) sounded different from others, maybe it was because it dared to include newer faces(apart from Demian Bichir who is always a favorite of mexican film directors) and supposedly dealed within it's script with modern social behaviour, maybe because it's photography I saw in the trailers was bright and realistic instead of theatrical. The film turned out to be a major crowd pleaser, and a major letdown. What Serrano actually deals here with is the very old fashioned ""battle of the sexes"" as in ""all men are the same"" and ""why is it that all women...;"" blah,blah,blah. Nothing new in it, not even that, it uses so much common ground and clichè that it eventually mocks itself without leaving any valuable reflexion on the female/male condition. Full of usual tramps on the audience like safe gags about the clichès I talked about before(those always work, always) and screaming performances(it is a well acted film in it's context)..and by screaming I mean, literally. The at first more compelling characters played by Monica Dionne and Demian Bichir turn out to be according to Serrano the more pathetic ones. I completely disagree with Serrano, they shouldn't have been treated that way only to serve as marionettes for his lesson to come through...he made sure we got HIS message and completely destroyed their roles that were the only solid ground in which this story could have stood. Anyway, it is after all, a very entertaining film at times and you will probably have a good time seeing it (if you accept to be manipulated by it).","negative"
"This film powerfully demonstrates the struggle of two women in love in a culture so deeply entrenched in ritual and tradition. All this against a backdrop of an India which itself is struggling for freedom from these same values. This film is both political and personal and never too preachy or idealistic on either front. It is easy to see why ""Fire"" has caused riots in India, but tragic nonetheless. A true film such as this one deserves to be seen by all people of the world, not just privileged westerners.","positive"
"The first 10 minutes of the movie makes fun of sequels and pg-13 movies. These are the 2 reasons the movie is so bad. They constantly reference a movie called ""Get Leo"" which is the movie-in-a-movie version of get shorty. Every time they do this, you will be really angry. Travolta isn't very cool, neither is Keitel. However, The Rock and Vince Vaughn are hilarious. They aren't the kind of funny you would expect to see in an Elmore Leonard movie though. If you haven't seen get shorty, you will probably like be cool. If you liked get shorty, you will leave the theater wanting to kill the director and screenwriter. Wait for the DVD.","negative"
"Utterly brilliant. Powerful and evocative. The most compelling documentary series ever made concerning war. It's tone offers a stark contrast to the often gung-ho attitude towards World War 2 that the media exhibits. Rather than opting for screaming about the horror of war, it allows Sir Laurence Olivier's quiet voice to take a back seat to the true images of war: corpses everywhere, explosions, terrified citizens and soldiers, broken men, indifferent politicians, mistakes that cost thousands of lives, the suffering of the innocents. Most of all it truly brings home that mankind is capable of when all normal rules of ""civility"" are removed. There is something distinctly Hobbesian about man in a true state of nature, he will return to a more beastly form capable of crimes that will still shock and fascinate 60 years on. Perhaps there could be a follow up series called ""The century at war"" for the twentieth century was truly the century of horrors. I feel it is an irony of immense magnitude that it took an event which caused the death of 50 million people to produce such a compelling and excellent series such as this.","positive"
"When I saw this film in the 1950s, I wanted to be a scientist too. There was something magical and useful in Science. I took a girl - friend along to see it a second time. I don't think she was as impressed as I was! This film was comical yet serious, at a time when synthetic fibres were rather new. Lessons from this film could be applied to issues relating to GM experimentation of today.","positive"
"I happened upon this movie as an 8-10 year old on a cold, dark November afternoon. I was outside playing all day, freezing, and when I came in around 4pm, I had a cup of hot cocoa and sat down in front of the TV with a blanket. I was surprised to be watching a cartoon that wasn't all happy and silly--and was in fact dark, and moralistic. It captured my imagination. I'm sure it misses the text, and is abbreviated in all the wrong places for the Tolkien purist. But it still captures the spirit of the story, the choice to carry a burden for the good of others, the consequences of selfish, rash decisions, etc. The quality of animation leaves room for complaint. But the one place where this movie clearly rises above the new films is the voice characterizations. John Hurt is great in this. If you don't like how the character is drawn, look away, and just listen to him. His voice is extraordinary. I've seen it again many, many times and it always brings me back to that time, as a kid, thirsty for some magical adventure. It's for this reason I say 'lucky', the film is nostalgic for me so I overlook its shortcomings. But between John Hurt, and Tolkien's fantasy, it still reached me, and still does.","positive"
"My god ! Buttgereit's masterpiece is one of the best movies I've ever seen. Closer to Peter Greenaway and Jean-Luc Godard's movies, this one is really disturbing but not gruesome as the Nekromantiks. All the little stories have a deep philosophic interest and the directing is totally inventive, in spite of the lack of money (see the ""bridge"" sketch). Highly highly recommended !","positive"
"Previous comment made me write this. It says that Muslims are blonde and Serbs are dark (because our blood is mixed). This comment just says that this opinion can be made by racist.Look,race is nothing.I'm color blind.I look like Pierce Brosnan but I'm no Irish. So what?I might add that I am not 100% Serb,that I have some Austrian and Croat blood within me but whats the point.I'm dark, half-breed?Is that so? Anyone using racial prejudices with such bad intent like Lantos(producer9and director is racist for me.Karadzhic, Izetbegovich, Milosevic, Tudjman they are all monsters and I blame them for destroying my life, my family, my country, Yuggoslavia. Hope they will be all in hell but that wont return our dead relatives back. I am proud of being Serb and I am proud of my cousins, Austrians,Croats,Muslims, Hungarians, Arabs (yes I am from Serbia and I have multiethnical family).This movie doesn't show sufferings of Serbs or Croats within Sarayevo,terrible terrorism of street gangs,Muslim extremism.I add: I kneel and pray for all innocent sisters and brothers Muslim,catholic or orthodox, killed in this war.This film is manipulation with our misery,false humanitarianism's which doesn't help at all.It helps Lantos to fill his pockets with more doe,alright!","negative"
"Although Super Mario 64 isn't like the rest of the games in the series, it is still a classic and is every bit as good as the old games. Games with this much replay value are few and far between. Plus, this game has so much variety. There are 15 levels each with several different tasks you can do, and many other hidden tasks. The game isn't very challenging, but its lack of challenge doesn't take away from the game at all. Once you beat it, you'll want to erase your game and start again. And its just as much fun the second time, or third time, or two hundredth time. A must own for any Nintendo 64 owner, and is a reason in itself to own a Nintendo 64.","positive"
"I'm a sucker for mob/gangland movies, so I rented this movie. This movie is a complete train wreck. With all the big name actors in this film, I can not believe how bad it was. It was so bad, that I began laughing hysterically towards the end of the film. The actor better known as Zues or the big dude from the Ice Cube movie ""Friday"" does an incredible overacting job throughout the film. First thing I told Blockbuster when I returned the film was to remove this garbage from their shelves. Do not rent this movie, unless you want to waste two hours of your life. If they come out with a sequel, I wonder if it will be twice as bad as the first. I will be more cautious when renting so called 'mob/gangland' movies.","negative"
